Xrhsths{onomaXrhsth='515501', onoma='Αλεξανδρος', epwnhmo='Παλιδος/ου', hmeromhniaGennhshs=2003-12-09, kwdikos='924901', email='acdem515501@academia.gr', roloi=[FOITITIS]}
Xrhsths{onomaXrhsth='649360', onoma='Βασιλης', epwnhmo='Αντονιδης/ου', hmeromhniaGennhshs=2004-12-09, kwdikos='210519', email='acdem649360@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='719325', onoma='Ελισαβετ', epwnhmo='Παρασκευοπουλος/ου', hmeromhniaGennhshs=2002-12-09, kwdikos='305251', email='acdem719325@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='490352', onoma='Ολγα', epwnhmo='Ανταμιδης/ου', hmeromhniaGennhshs=2002-12-09, kwdikos='077240', email='acdem490352@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='146334', onoma='Ολγα', epwnhmo='Πετριδης/δου', hmeromhniaGennhshs=2003-12-09, kwdikos='474495', email='acdem146334@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='986601', onoma='Πετρος', epwnhmo='Αλεγαγλου', hmeromhniaGennhshs=2001-12-09, kwdikos='256156', email='acdem986601@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='716295', onoma='Πετρος', epwnhmo='Κασιναδρου', hmeromhniaGennhshs=2005-12-09, kwdikos='920648', email='acdem716295@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='940600', onoma='Γιωργος', epwnhmo='Αννουλιδης/ου', hmeromhniaGennhshs=2005-12-09, kwdikos='342522', email='acdem940600@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='584513', onoma='Τζουλια', epwnhmo='Παλιδος/ου', hmeromhniaGennhshs=2003-12-09, kwdikos='490191', email='acdem584513@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='043457', onoma='Μανωλης', epwnhmo='Αντονιδης/ου', hmeromhniaGennhshs=2003-12-09, kwdikos='937919', email='acdem043457@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='240653', onoma='Ελισαβετ', epwnhmo='Κασιναδρου', hmeromhniaGennhshs=2002-12-09, kwdikos='905099', email='acdem240653@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='648288', onoma='Γιωργος', epwnhmo='Αννουλιδης/ου', hmeromhniaGennhshs=2002-12-09, kwdikos='571505', email='acdem648288@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='080415', onoma='Νατασσα', epwnhmo='Πετριδης/δου', hmeromhniaGennhshs=2004-12-09, kwdikos='438305', email='acdem080415@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='433316', onoma='Φιλιππος', epwnhmo='Καθαριος/ου', hmeromhniaGennhshs=2002-12-09, kwdikos='318961', email='acdem433316@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='007359', onoma='Βασιλης', epwnhmo='Παρασκευοπουλος/ου', hmeromhniaGennhshs=2005-12-09, kwdikos='034643', email='acdem007359@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='641650', onoma='Ελισαβετ', epwnhmo='Μακρινος/ου', hmeromhniaGennhshs=2001-12-09, kwdikos='983451', email='acdem641650@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='147433', onoma='Εση', epwnhmo='Πετριδης/δου', hmeromhniaGennhshs=2005-12-09, kwdikos='022527', email='acdem147433@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='937678', onoma='Πετρος', epwnhmo='Αλεγαγλου', hmeromhniaGennhshs=2002-12-09, kwdikos='975315', email='acdem937678@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='386234', onoma='Πετρος', epwnhmo='Μακρινος/ου', hmeromhniaGennhshs=2003-12-09, kwdikos='512211', email='acdem386234@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='776579', onoma='Πετρος', epwnhmo='Καθαριος/ου', hmeromhniaGennhshs=2004-12-09, kwdikos='004423', email='acdem776579@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='342656', onoma='Ολγα', epwnhmo='Μανουλιδου', hmeromhniaGennhshs=2004-12-09, kwdikos='166007', email='acdem342656@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='606879', onoma='Ραδιον', epwnhmo='Ανταμιδης/ου', hmeromhniaGennhshs=2002-12-09, kwdikos='049166', email='acdem606879@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='458641', onoma='Τζον', epwnhmo='Αλεγαγλου', hmeromhniaGennhshs=2005-12-09, kwdikos='357850', email='acdem458641@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='199094', onoma='Ελισαβετ', epwnhmo='Κασιναδρου', hmeromhniaGennhshs=2005-12-09, kwdikos='724119', email='acdem199094@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='613392', onoma='Ελλη', epwnhmo='Παρασκευοπουλος/ου', hmeromhniaGennhshs=2003-12-09, kwdikos='521494', email='acdem613392@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='180236', onoma='Μανωλης', epwnhmo='Αντονιδης/ου', hmeromhniaGennhshs=2003-12-09, kwdikos='269858', email='acdem180236@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='739390', onoma='Νατασσα', epwnhmo='Ανταμιδης/ου', hmeromhniaGennhshs=2004-12-09, kwdikos='574636', email='acdem739390@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='407494', onoma='Τζεραρ', epwnhmo='Ολιρηνος/ου', hmeromhniaGennhshs=2001-12-09, kwdikos='412016', email='acdem407494@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='765442', onoma='Ραδιον', epwnhmo='Παρασκευοπουλος/ου', hmeromhniaGennhshs=2001-12-09, kwdikos='784730', email='acdem765442@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='101408', onoma='Ελλη', epwnhmo='Αριουνουλος/ου', hmeromhniaGennhshs=2002-12-09, kwdikos='190446', email='acdem101408@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='982228', onoma='Πετρος', epwnhmo='Αντονιδης/ου', hmeromhniaGennhshs=2001-12-09, kwdikos='150447', email='acdem982228@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='237006', onoma='Μαρια', epwnhmo='Αλεγαγλου', hmeromhniaGennhshs=2004-12-09, kwdikos='017288', email='acdem237006@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='995353', onoma='Τζουλια', epwnhmo='Καθαριος/ου', hmeromhniaGennhshs=2003-12-09, kwdikos='039891', email='acdem995353@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='281163', onoma='Πετρος', epwnhmo='Ανταμιδης/ου', hmeromhniaGennhshs=2003-12-09, kwdikos='512390', email='acdem281163@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='881325', onoma='Ραδιον', epwnhmo='Ανταμιδης/ου', hmeromhniaGennhshs=2004-12-09, kwdikos='771781', email='acdem881325@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='435754', onoma='Αλεξανδρος', epwnhmo='Μακρινος/ου', hmeromhniaGennhshs=2001-12-09, kwdikos='421215', email='acdem435754@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='594338', onoma='Ραδιον', epwnhmo='Μακρινος/ου', hmeromhniaGennhshs=2005-12-09, kwdikos='518258', email='acdem594338@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='032317', onoma='Εση', epwnhmo='Παρασκευοπουλος/ου', hmeromhniaGennhshs=2003-12-09, kwdikos='775445', email='acdem032317@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='878394', onoma='Τζον', epwnhmo='Παλιδος/ου', hmeromhniaGennhshs=2002-12-09, kwdikos='478126', email='acdem878394@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='349033', onoma='Ολγα', epwnhmo='Πετριδης/δου', hmeromhniaGennhshs=2001-12-09, kwdikos='080335', email='acdem349033@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='195739', onoma='Γιωργος', epwnhmo='Μανουλιδου', hmeromhniaGennhshs=2005-12-09, kwdikos='925031', email='acdem195739@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='148311', onoma='Ελλη', epwnhmo='Μακρινος/ου', hmeromhniaGennhshs=2002-12-09, kwdikos='204239', email='acdem148311@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='724921', onoma='Ολγα', epwnhmo='Παδαποδουλος/ου', hmeromhniaGennhshs=2002-12-09, kwdikos='632978', email='acdem724921@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='196823', onoma='Αλεξανδρος', epwnhmo='Αννουλιδης/ου', hmeromhniaGennhshs=2004-12-09, kwdikos='181792', email='acdem196823@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='592162', onoma='Ραδιον', epwnhmo='Αντονιδης/ου', hmeromhniaGennhshs=2005-12-09, kwdikos='928131', email='acdem592162@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='575836', onoma='Μαρια', epwnhmo='Κασιναδρου', hmeromhniaGennhshs=2004-12-09, kwdikos='249855', email='acdem575836@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='585635', onoma='Φιλιππος', epwnhmo='Πετριδης/δου', hmeromhniaGennhshs=2005-12-09, kwdikos='737690', email='acdem585635@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='568078', onoma='Αννα', epwnhmo='Μακρινος/ου', hmeromhniaGennhshs=2003-12-09, kwdikos='761363', email='acdem568078@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='020587', onoma='Τζεραρ', epwnhmo='Μανουλιδου', hmeromhniaGennhshs=2002-12-09, kwdikos='909207', email='acdem020587@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='971570', onoma='Νατασσα', epwnhmo='Αντονιδης/ου', hmeromhniaGennhshs=2002-12-09, kwdikos='982625', email='acdem971570@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='282245', onoma='Εση', epwnhmo='Παρασκευοπουλος/ου', hmeromhniaGennhshs=2001-12-09, kwdikos='112284', email='acdem282245@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='304154', onoma='Τζεραρ', epwnhmo='Παλιδος/ου', hmeromhniaGennhshs=2005-12-09, kwdikos='437787', email='acdem304154@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='732770', onoma='Νικος', epwnhmo='Πετριδης/δου', hmeromhniaGennhshs=2002-12-09, kwdikos='813118', email='acdem732770@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='111690', onoma='Νατασσα', epwnhmo='Μακρινος/ου', hmeromhniaGennhshs=2004-12-09, kwdikos='187401', email='acdem111690@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='358813', onoma='Αλεξανδρος', epwnhmo='Παλιδος/ου', hmeromhniaGennhshs=2003-12-09, kwdikos='664483', email='acdem358813@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='928523', onoma='Βασιλης', epwnhmo='Αννουλιδης/ου', hmeromhniaGennhshs=2003-12-09, kwdikos='496915', email='acdem928523@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='401531', onoma='Νικος', epwnhmo='Παρασκευοπουλος/ου', hmeromhniaGennhshs=2002-12-09, kwdikos='904996', email='acdem401531@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='626440', onoma='Ολγα', epwnhmo='Παλιδος/ου', hmeromhniaGennhshs=2004-12-09, kwdikos='408341', email='acdem626440@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='055886', onoma='Ελισαβετ', epwnhmo='Παδαποδουλος/ου', hmeromhniaGennhshs=2004-12-09, kwdikos='532287', email='acdem055886@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='780418', onoma='Νατασσα', epwnhmo='Καθαριος/ου', hmeromhniaGennhshs=2002-12-09, kwdikos='270259', email='acdem780418@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='891794', onoma='Μαρια', epwnhmo='Αλεγαγλου', hmeromhniaGennhshs=2001-12-09, kwdikos='805229', email='acdem891794@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='560758', onoma='Αννα', epwnhmo='Παδαποδουλος/ου', hmeromhniaGennhshs=2001-12-09, kwdikos='906051', email='acdem560758@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='540505', onoma='Αλεξανδρος', epwnhmo='Αννουλιδης/ου', hmeromhniaGennhshs=2001-12-09, kwdikos='261468', email='acdem540505@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='704269', onoma='Αννα', epwnhmo='Ολιρηνος/ου', hmeromhniaGennhshs=2002-12-09, kwdikos='177382', email='acdem704269@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='717586', onoma='Βασιλης', epwnhmo='Αντονιδης/ου', hmeromhniaGennhshs=2001-12-09, kwdikos='628766', email='acdem717586@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='686108', onoma='Εση', epwnhmo='Αριουνουλος/ου', hmeromhniaGennhshs=2001-12-09, kwdikos='364972', email='acdem686108@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='802530', onoma='Φιλιππος', epwnhmo='Κασιναδρου', hmeromhniaGennhshs=2003-12-09, kwdikos='427667', email='acdem802530@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='121078', onoma='Ελλη', epwnhmo='Μακρινος/ου', hmeromhniaGennhshs=2001-12-09, kwdikos='259177', email='acdem121078@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='018458', onoma='Ελλη', epwnhmo='Μακρινος/ου', hmeromhniaGennhshs=2001-12-09, kwdikos='258710', email='acdem018458@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='340683', onoma='Τζουλια', epwnhmo='Παδαποδουλος/ου', hmeromhniaGennhshs=2001-12-09, kwdikos='184745', email='acdem340683@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='081773', onoma='Φιλιππος', epwnhmo='Παδαποδουλος/ου', hmeromhniaGennhshs=2005-12-09, kwdikos='168371', email='acdem081773@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='083710', onoma='Ολγα', epwnhmo='Αννουλιδης/ου', hmeromhniaGennhshs=2005-12-09, kwdikos='091492', email='acdem083710@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='053217', onoma='Ολγα', epwnhmo='Πετριδης/δου', hmeromhniaGennhshs=2001-12-09, kwdikos='148034', email='acdem053217@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='182642', onoma='Ολγα', epwnhmo='Ολιρηνος/ου', hmeromhniaGennhshs=2002-12-09, kwdikos='100917', email='acdem182642@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='330636', onoma='Αννα', epwnhmo='Μανουλιδου', hmeromhniaGennhshs=2002-12-09, kwdikos='329850', email='acdem330636@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='640361', onoma='Τζουλια', epwnhmo='Κασιναδρου', hmeromhniaGennhshs=2002-12-09, kwdikos='500973', email='acdem640361@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='816945', onoma='Τζουλια', epwnhmo='Αριουνουλος/ου', hmeromhniaGennhshs=2005-12-09, kwdikos='616411', email='acdem816945@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='183734', onoma='Τζουλια', epwnhmo='Κασιναδρου', hmeromhniaGennhshs=2005-12-09, kwdikos='429314', email='acdem183734@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='706694', onoma='Τζον', epwnhmo='Αντονιδης/ου', hmeromhniaGennhshs=2001-12-09, kwdikos='598033', email='acdem706694@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='349490', onoma='Εση', epwnhmo='Παλιδος/ου', hmeromhniaGennhshs=2005-12-09, kwdikos='586672', email='acdem349490@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='685275', onoma='Τζεραρ', epwnhmo='Αριουνουλος/ου', hmeromhniaGennhshs=2005-12-09, kwdikos='968858', email='acdem685275@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='582309', onoma='Νικος', epwnhmo='Αριουνουλος/ου', hmeromhniaGennhshs=2002-12-09, kwdikos='757858', email='acdem582309@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='877239', onoma='Αλεξανδρος', epwnhmo='Αννουλιδης/ου', hmeromhniaGennhshs=2003-12-09, kwdikos='709327', email='acdem877239@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='844580', onoma='Ελλη', epwnhmo='Πετριδης/δου', hmeromhniaGennhshs=2002-12-09, kwdikos='677933', email='acdem844580@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='880648', onoma='Νατασσα', epwnhmo='Αλεγαγλου', hmeromhniaGennhshs=2002-12-09, kwdikos='827364', email='acdem880648@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='306791', onoma='Ελλη', epwnhmo='Ανταμιδης/ου', hmeromhniaGennhshs=2001-12-09, kwdikos='020751', email='acdem306791@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='690611', onoma='Αλεξανδρος', epwnhmo='Παρασκευοπουλος/ου', hmeromhniaGennhshs=2003-12-09, kwdikos='296207', email='acdem690611@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='974661', onoma='Αννα', epwnhmo='Παδαποδουλος/ου', hmeromhniaGennhshs=2003-12-09, kwdikos='043455', email='acdem974661@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='512018', onoma='Φιλιππος', epwnhmo='Παλιδος/ου', hmeromhniaGennhshs=2003-12-09, kwdikos='393361', email='acdem512018@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='529960', onoma='Φιλιππος', epwnhmo='Μακρινος/ου', hmeromhniaGennhshs=2003-12-09, kwdikos='836266', email='acdem529960@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='104505', onoma='Βασιλης', epwnhmo='Παλιδος/ου', hmeromhniaGennhshs=2004-12-09, kwdikos='894414', email='acdem104505@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='181762', onoma='Βασιλης', epwnhmo='Παλιδος/ου', hmeromhniaGennhshs=2002-12-09, kwdikos='286446', email='acdem181762@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='816912', onoma='Ραδιον', epwnhmo='Αντονιδης/ου', hmeromhniaGennhshs=2002-12-09, kwdikos='009497', email='acdem816912@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='330862', onoma='Μανωλης', epwnhmo='Μανουλιδου', hmeromhniaGennhshs=2001-12-09, kwdikos='829714', email='acdem330862@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='929875', onoma='Μανωλης', epwnhmo='Αννουλιδης/ου', hmeromhniaGennhshs=2005-12-09, kwdikos='209956', email='acdem929875@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='983361', onoma='Τζουλια', epwnhmo='Καθαριος/ου', hmeromhniaGennhshs=2002-12-09, kwdikos='001889', email='acdem983361@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='446620', onoma='Ολγα', epwnhmo='Αριουνουλος/ου', hmeromhniaGennhshs=2003-12-09, kwdikos='714563', email='acdem446620@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='048090', onoma='Μανωλης', epwnhmo='Καθαριος/ου', hmeromhniaGennhshs=2002-12-09, kwdikos='062597', email='acdem048090@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='729348', onoma='Τζεραρ', epwnhmo='Πετριδης/δου', hmeromhniaGennhshs=2001-12-09, kwdikos='124021', email='acdem729348@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='421797', onoma='Ολγα', epwnhmo='Ολιρηνος/ου', hmeromhniaGennhshs=2004-12-09, kwdikos='281869', email='acdem421797@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='247065', onoma='Νατασσα', epwnhmo='Αλεγαγλου', hmeromhniaGennhshs=2004-12-09, kwdikos='685665', email='acdem247065@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='324190', onoma='Αννα', epwnhmo='Κασιναδρου', hmeromhniaGennhshs=2003-12-09, kwdikos='045019', email='acdem324190@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='203043', onoma='Ελλη', epwnhmo='Αριουνουλος/ου', hmeromhniaGennhshs=2003-12-09, kwdikos='212570', email='acdem203043@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='842170', onoma='Ολγα', epwnhmo='Παδαποδουλος/ου', hmeromhniaGennhshs=2004-12-09, kwdikos='799661', email='acdem842170@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='527512', onoma='Βασιλης', epwnhmo='Αννουλιδης/ου', hmeromhniaGennhshs=2003-12-09, kwdikos='836031', email='acdem527512@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='275768', onoma='Πετρος', epwnhmo='Παλιδος/ου', hmeromhniaGennhshs=2002-12-09, kwdikos='228329', email='acdem275768@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='418395', onoma='Φιλιππος', epwnhmo='Αννουλιδης/ου', hmeromhniaGennhshs=2001-12-09, kwdikos='878960', email='acdem418395@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='253976', onoma='Φιλιππος', epwnhmo='Αριουνουλος/ου', hmeromhniaGennhshs=2003-12-09, kwdikos='565030', email='acdem253976@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='434883', onoma='Βασιλης', epwnhmo='Παλιδος/ου', hmeromhniaGennhshs=2003-12-09, kwdikos='200499', email='acdem434883@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='342601', onoma='Ολγα', epwnhmo='Παρασκευοπουλος/ου', hmeromhniaGennhshs=2005-12-09, kwdikos='102673', email='acdem342601@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='331949', onoma='Ραδιον', epwnhmo='Παλιδος/ου', hmeromhniaGennhshs=2005-12-09, kwdikos='015210', email='acdem331949@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='743619', onoma='Τζεραρ', epwnhmo='Αννουλιδης/ου', hmeromhniaGennhshs=2004-12-09, kwdikos='726230', email='acdem743619@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='032512', onoma='Πετρος', epwnhmo='Ανταμιδης/ου', hmeromhniaGennhshs=2005-12-09, kwdikos='384268', email='acdem032512@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='295346', onoma='Μανωλης', epwnhmo='Αλεγαγλου', hmeromhniaGennhshs=2001-12-09, kwdikos='873542', email='acdem295346@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='961344', onoma='Πετρος', epwnhmo='Αννουλιδης/ου', hmeromhniaGennhshs=2002-12-09, kwdikos='140367', email='acdem961344@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='744945', onoma='Βασιλης', epwnhmo='Ανταμιδης/ου', hmeromhniaGennhshs=2005-12-09, kwdikos='234219', email='acdem744945@academia.gr', roloi=[FOITITIS]}


